<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
.)	./sf+)/sr
그러나	그러나/maj
송이	송이/nq
입장에서	입장/ncn+에서/jca
보면	보/pvg+면/ecs
공은	공/ncn+은/jxc
기구와	기구/ncn+와/jct
함께	함께/mag
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있었으므로	있/px+었/ep+으므로/ecs
,	,/sp
철수가	철수/nq+가/jcs
공을	공/ncn+을/jco
떨어뜨린	떨어뜨리/pvg+ㄴ/etm
순간부터	순간/ncn+부터/jxc
잠시	잠시/mag
동안	동안/ncn
위로	위/ncn+로/jca
올라간	오르/pvg+아/ecs+가/pvg+ㄴ/etm
다음	다음/ncn
정지했다가	정지/ncpa+하/xsv+었/ep+다가/ecs
그	그/mmd
다음부터	다음/ncn+부터/jxc
아래로	아래/ncn+로/jca
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
것을	것/nbn+을/jco
보게	보/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
결국	결국/mag
송이는	송이/nq+는/etm
높은	높/paa+은/etm
빌딩	빌딩/ncn
위에서	위/ncn+에서/jca
공을	공/ncn+을/jco
위로	위/ncn+로/jca
던져	던지/pvg+어/ecx
올렸을	올리/pvg+었/ep+을/etm
때의	때/ncn+의/jcm
공이	공/ncn+이/jcs
보여	보이/pvg+어/ecx
주는	주/px+는/etm
운동을	운동/ncn+을/jco
목격하는	목격/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것을	이것/npd+을/jco
식으로	식/ncn+으로/jca
쓰면	쓰/pvg+면/ecs
v	v/f
=	=/sy
v	v/f
-	-/sd
gt	gt/f
로	로/jca
,	,/sp
처음	처음/ncn
속력이	속력/ncn+이/jcs
있는	있/paa+는/etm
연직	연직/ncn
상방	상방/ncn
운동이다	운동/ncn+이/jp+다/ef
.(	./sf+(/sl
여기서	여기/npd+서/jca
v	v/f
는	는/jxc
처음	처음/ncn
속력	속력/ncn
,	,/sp
v	v/f
는	는/jxc
나중	나중/ncn
속력	속력/ncn
,	,/sp
g	g/f
는	는/jxc
중력	중력/ncn
가속도	가속도/ncn
,	,/sp
t	t/f
는	는/jxc
시간을	시간/ncn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.)	./sf+)/sr
따라서	따라서/maj
똘똘이의	똘똘이/nq+의/jcm
말이	말/ncn+이/jcs
정답이다	정답/ncn+이/jp+다/ef
.	./sf
갈릴레이와의	갈릴레이/nq+와/jcj+의/jcm
대화	대화/ncn
갈릴레이가	갈릴레이/nq+가/jcs
살던	살/pvg+던/etm
시대만	시대/ncn+만/jxc
하더라도	하/pvg+더라도/ecs
물체의	물체/ncn+의/jcm
낙하	낙하/ncn
속도는	속도/ncn+는/jxc
무거운	무겁/paa+ㄴ/etm
물체일수록	물체/ncn+이/jp+ㄹ수록/ecs
크다고	크/paa+다고/ecs
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
이런	이런/mmd
생각은	생각/ncn+은/jxc
아리스토텔레스가	아리스토텔레스/nq+가/jcs
정립했던	정립/ncpa+하/xsv+었/ep+던/etm
것으로	것/nbn+으로/jca
,	,/sp
그의	그/npp+의/jcm
추종자들에	추종/ncn+자/xsn+들/xsn+에/jca
의해	의하/pvg+어/ecs
정론으로	정론/ncn+으로/jca
굳혀졌다	굳히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
그러나	그러나/maj
갈릴레이는	갈릴레이/nq+는/jxc
121333600       <<     </sl+</sl
새로운	nq[새롭/paa+ㄴ/etm
과학	과학/ncn]nq
>>	>/sr+>/sr
이라는	이/jp+라는/etm
책을	책/ncn+을/jco
쓰면서	쓰/pvg+면서/ecs
이에	이/npd+에/jca
대한	대하/pvg+ㄴ/etm
반론을	반론/ncn+을/jco
펼쳐	펼치/pvg+어/ecs
근대	근대/ncn
역학의	역학/ncn+의/jcm
지평을	지평/ncn+을/jco
열었다	열/pvg+었/ep+다/ef
.	./sf
다음은	다음/ncn+은/jxc
그	그/mmd
책의	책/ncn+의/jcm
일부를	일부/ncn+를/jco
간추린	간추리/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
아리스토텔레스의	아리스토텔레스/nq+의/jcm
추종자	추종/ncn+자/xsn
:	:/sp
종이와	종이/ncn+와/jcj
돌을	돌/ncn+을/jco
떨어뜨리면	떨어뜨리/pvg+면/ecs
당연히	당연/ncn+히/xsa
무거운	무겁/paa+ㄴ/etm
돌이	돌/ncn+이/jcs
먼저	먼저/mag
떨어지지	떨어지/pvg+지/ecx
않는가	않/px+는가/ef
.	./sf
갈릴레이	갈릴레이/nq
:	:/sp
그렇지만	그렇지만/maj
무거운	무겁/paa+ㄴ/etm
돌과	돌/ncn+과/jct
가벼운	가볍/paa+ㄴ/etm
돌을	돌/ncn+을/jco
동시에	동시/ncn+에/jca
떨어뜨리면	떨어뜨리/pvg+면/ecs
똑같이	똑같/paa+이/xsa
떨어지는	떨어지/pvg+는/etm
것을	것/nbn+을/jco
수	알/pvg+ㄹ/etm+수/nbn
있네	있/paa+네/ef
.	./sf
아리스토텔레스의	아리스토텔레스/nq+의/jcm
추종자	추종/ncn+자/xsn
:	:/sp
하지만	하지만/maj
물속에서	물/ncn+속/ncn+에서/jca
모래	모래/ncn
한	한/nnc
알과	알/nbu+과/jcj
자갈	자갈/ncn
하나를	하나/nnc+를/jco
떨어뜨려	떨어뜨리/pvg+어/ecx
보게나	보/px+게/ef+나/ef
.	./sf
자갈이	자갈/ncn+이/jcs
먼저	먼저/mag
떨어지는	떨어지/pvg+는/etm
것을	것/nbn+을/jco
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
걸세	것/nbn+이/jp+ㄹ세/ef
.	./sf
갈릴레이	갈릴레이/nq
:	:/sp
만일	만일/mag
진공	진공/ncn
상태라면	상태/ncn+라면/ecs
깃털이라고	깃털/ncn+이/jp+라고/ecs
해도	하/pvg+어도/ecs
대포알과	대포/ncn+알/ncn+과/jct
똑같은	똑같/paa+은/etm
시간에	시간/ncn+에/jca
떨어질	떨어지/pvg+ㄹ/etm
것이라고	것/nbn+이라고/jcr
믿네	믿/pvg+네/ef
.	./sf
아리스토텔레스의	아리스토텔레스/nq+의/jcm
추종자	추종/ncn+자/xsn
:	:/sp
진공	진공/ncn
따위는	따위/nbn+는/jxc
우리가	우리/npp+가/jcs
만들	만들/pvg+ㄹ/etm
수	수/nbn
없네	없/paa+네/ef
.	./sf
하지만	하지만/maj
만들	만들/pvg+ㄹ/etm
수	수/nbn
있다고	있/paa+다고/ecs
해도	하/pvg+어도/ecs
왜	왜/mag
그런	그런/mmd
부자연스러운	부/xp+자연/ncps+스럽/paa+ㄴ/etm
방법을	방법/ncn+을/jco
동원해야	동원/ncpa+하/xsv+어야/ecs
하지	하/px+지/ef
?	?/sf
자연	자연/ncn
그대로를	그대로/ncn+를/jco
받아들여야	받/pvg+아/ecs+들이/pvg+어야/ecs
하네	하/px+네/ef
.	./sf
갈릴레이	갈릴레이/nq
:	:/sp
떨어지는	떨어지/pvg+는/etm
것을	것/nbn+을/jco
방해하는	방해/ncpa+하/xsv+는/etm
물질들을	물질/ncn+들/xsn+을/jco
제거해야	제거/ncpa+하/xsv+어야/ecs
낙하	낙하/ncn
운동의	운동/ncn+의/jcm
본질을	본질/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
텐데	터/nbn+이/jp+ㄴ데/ef
.....	...../sd
그로부터	그/npd+로/jca+부터/jxc
삼백년후	삼백/nnc+년/nbu+후/ncn
20	20/nno
세기	세기/nbu
중반에	중반/ncn+에/jca
달에	달/ncn+에/jca
착륙한	착륙/ncpa+하/xsv+ㄴ/etm
우주인은	우주/ncn+인/xsn+은/jxc
깃털과	깃털/ncn+과/jcj
쇠뭉치를	쇠/ncn+뭉치/ncn+를/jco
떨어뜨려	떨어뜨리/pvg+어/ecs
동시에	동시/ncn+에/jca
낙하하는	낙하/ncpa+하/xsv+는/etm
모습을	모습/ncn+을/jco
TV	TV/f
화면을	화면/ncn+을/jco
통해	통하/pvg+어/ecs
전세계에	전/mma+세계/ncn+에/jca
보여	보이/pvg+어/ecx
주었다	주/px+었/ep+다/ef
.	./sf
그렇다면	그렇다면/maj
진공	진공/ncn
상태에서	상태/ncn+에서/jca
깃털과	깃털/ncn+과/jcj
대포알이	대포/ncn+알/ncn+이/jcs
동시에	동시/ncn+에/jca
낙하하는	낙하/ncpa+하/xsv+는/etm
근본적인	근본/ncn+적/xsn+이/jp+ㄴ/etm
이유는	이유/ncn+는/jxc
무엇일까	무엇/npd+이/jp+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
물체가	물체/ncn+가/jcs
떨어지는	떨어지/pvg+는/etm
이유는	이유/ncn+는/jxc
중력	중력/ncn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그러니까	그러니까/maj
깃털과	깃털/ncn+과/jcj
대포알이	대포/ncn+알/ncn+이/jcs
동시에	동시/ncn+에/jca
떨어지는	떨어지/pvg+는/etm
것은	것/nbn+은/jxc
중력의	중력/ncn+의/jcm
크기가	크기/ncn+가/jcs
같기	같/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
우리는	우리/npp+는/jxc
대포알이	대포/ncn+알/ncn+이/jcs
깃털보다	깃털/ncn+보다/jca
무겁다는	무겁/paa+다/ef+는/etm
것을	것/nbn+을/jco
알고	알/pvg+고/ecx
있다	있/paa+다/ef
.	./sf
그것은	그것/npd+은/jxc
대포알에	대포/ncn+알/ncn+에/jca
미치는	미치/pvg+는/etm
중력이	중력/ncn+이/jcs
더	더/mag
크다는	크/paa+다/ef+는/etm
것을	것/nbn+을/jco
의미한다	의미/ncpa+하/xsv+ㄴ다/ef
.	./sf
하지만	하지만/maj
질량이	질량/ncn+이/jcs
크면	크/paa+면/ecs
그만큼	그/mmd+만큼/nbn
가속도는	가속도/ncn+는/jxc
작기	작/paa+기/etn
때문에	때문/nbn+에/jca
결국	결국/mag
깃털이나	깃털/ncn+이나/jcj
대포알이	대포/ncn+알/ncn+이/jcs
똑같은	똑같/paa+은/etm
가속도로	가속도/ncn+로/jca
낙하하는	낙하/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
중력은	중력/ncn+은/jxc
이	이/mmd
문제에서	문제/ncn+에서/jca
별	별/mma
상관이	상관/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
왜냐하면	왜냐하면/maj
지구에서와	지구/ncn+에서/jca+와/jcj
달에서	달/ncn+에서/jca
진공을	진공/ncn+을/jco
만들어	만들/pvg+어/ecx
실험하면	실험/ncpa+하/xsv+면/ecs
동시에	동시/ncn+에/jca
낙하하기	낙하/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
낙하	낙하/ncn
운동은	운동/ncn+은/jxc
관성과	관성/ncn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
형상으로	형상/ncn+으로/jca
설명할	설명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
즉	즉/mag
,	,/sp
물체의	물체/ncn+의/jcm
낙하는	낙하/ncn+는/jxc
진공	진공/ncn
상태라면	상태/ncn+라면/ecs
질량에	질량/ncn+에/jca
관계없이	관계/ncn+없/paa+이/xsa
똑같은	똑같/paa+은/etm
운동을	운동/ncn+을/jco
하게	하/pvg+게/ecs
되어	되/pvg+어/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
나도	나/npp+도/jxc
곰곰이와	곰곰이/nq+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
의견이지만	의견/ncn+이/jp+지만/ecs
,	,/sp
진공	진공/ncn
중에서는	중/nbn+에서/jca+는/jxc
중력이	중력/ncn+이/jcs
없어진다고	없/paa+어/ecx+지/px+ㄴ다고/ecs
생각한다	생각/ncpa+하/xsv+ㄴ다/ef
.	./sf
그래서	그래서/maj
모든	모든/mma
물체는	물체/ncn+는/jxc
처음의	처음/ncn+의/jcm
속력으로	속력/ncn+으로/jca
일정하게	일정/ncps+하/xsm+게/ecs
똑같이	똑같/paa+이/xsa
움직이는	움직이/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
무거운	무겁/paa+ㄴ/etm
대포알이	대포/ncn+알/ncn+이/jcs
가벼운	가볍/paa+ㄴ/etm
깃털보다	깃털/ncn+보다/jca
먼저	먼저/mag
떨어지는	떨어지/pvg+는/etm
것은	것/nbn+은/jxc
당연한	당연/ncps+하/xsm+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
진공	진공/ncn
중이라고	중/nbn+이/jp+라고/ecs
하더라도	하/pvg+더라도/ecs
결과는	결과/ncn+는/jxc
마찬가지다	마찬가지/ncn+다/ef
.	./sf
달에서의	달/ncn+에서/jca+의/jcm
실험은	실험/ncn+은/jxc
달의	달/ncn+의/jcm
중력이	중력/ncn+이/jcs
작기	작/paa+기/etn
때문에	때문/nbn+에/jca
나타난	나타나/pvg+ㄴ/etm
결과일	결과/ncn+이/jp+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
지구에서	지구/ncn+에서/jca
진공	진공/ncn
실험을	실험/ncn+을/jco
한다면	하/pvg+ㄴ다면/ecs
다른	다르/paa+ㄴ/etm
결과가	결과/ncn+가/jcs
나올	나오/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
운동	운동/ncn
제	제/xp
2	2/nno
법칙에	법칙/ncn+에/jca
의하면	의하/pvg+면/ecs
물체의	물체/ncn+의/jcm
가속도는	가속도/ncn+는/jxc
가해진	가하/pvg+어/ecx+지/px+ㄴ/etm
힘에	힘/ncn+에/jca
비례하고	비례/ncpa+하/xsv+고/ecs
그	그/mmd
물체의	물체/ncn+의/jcm
질량에	질량/ncn+에/jca
반비례한다	반/xp+비례/ncpa+하/xsv+ㄴ다/ef
.	./sf
즉	즉/mag
이며	이/jp+며/ecs
,	,/sp
여기서	여기/npd+서/jca
a	a/f
는	는/jxc
가속도	가속도/ncn
,	,/sp
F	F/f
는	는/jxc
힘	힘/ncn
,	,/sp
m	m/f
은	은/jxc
질량이다	질량/ncn+이/jp+다/ef
.	./sf
이	이/mmd
문제에서	문제/ncn+에서/jca
고려해야	고려/ncpa+하/xsv+어야/ecs
할	하/px+ㄹ/etm
힘은	힘/ncn+은/jxc
중력이다	중력/ncn+이/jp+다/ef
.	./sf
이	이/mmd
중력의	중력/ncn+의/jcm
크기를	크기/ncn+를/jco
식으로	식/ncn+으로/jca
표현하면	표현/ncpa+하/xsv+면/ecs
,	,/sp
이다	이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
G	G/f
는	는/jxc
만유인력	만유인력/ncn
121370800 
상수	상수/ncn
,	,/sp
m	m/f
은	은/jxc
물체의	물체/ncn+의/jcm
질량	질량/ncn
,	,/sp
M	M/f
은	은/jxc
지구	지구/ncn
질량	질량/ncn
,	,/sp
R	R/f
은	은/jxc
지구	지구/ncn
반지름이다	반지름/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
이	이/mmd
식을	식/ncn+을/jco
운동	운동/ncn
제	제/xp
2	2/nno
법칙에	법칙/ncn+에/jca
적용시키면	적용/ncpa+시키/xsv+면/ecs
에서	에서/jca
이고	이/jp+고/ecc
,	,/sp
이것은	이것/npd+은/jxc
모두	모두/mag
상수의	상수/ncn+의/jcm
곱이므로	곱/ncn+이/jp+므로/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
값을	값/ncn+을/jco
갖는다	갖/pvg+는다/ef
.	./sf
각	각/mma
상수의	상수/ncn+의/jcm
값을	값/ncn+을/jco
대입해서	대입/ncpa+하/xsv+어서/ecs
계산하면	계산/ncpa+하/xsv+면/ecs
a	a/f
=	=/sy
9	9/nnc
.	./sf
8	8/nnc
m	m/f
/	//sp
이라는	이/jp+라/ef+는/etm
유명한	유명/ncps+하/xsm+ㄴ/etm
중력	중력/ncn
가속도를	가속도/ncn+를/jco
얻게	얻/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
위의	위/ncn+의/jcm
중력	중력/ncn
가속도를	가속도/ncn+를/jco
얻는	얻/pvg+는/etm
과정에서	과정/ncn+에서/jca
보듯이	보/pvg+듯이/ecs
물체의	물체/ncn+의/jcm
질량과는	질량/ncn+과/jct+는/jxc
상관없이	상관/ncn+없/paa+이/xsa
똑같은	똑같/paa+은/etm
가속도로	가속도/ncn+로/jca
낙하하는	낙하/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
다시	다시/mag
설명하면	설명/ncpa+하/xsv+면/ecs
지금	지금/ncn
질량이	질량/ncn+이/jcs
더	더/mag
큰	크/paa+ㄴ/etm
물체를	물체/ncn+를/jco
m	m/f
'	'/sr
작은	작/paa+은/etm
물체를	물체/ncn+를/jco
m	m/f
이라고	이/jp+라고/jcr
하면	하/pvg+면/ecs
,	,/sp
지구와의	지구/ncn+와/jcj+의/jcm
중력을	중력/ncn+을/jco
각각	각각/mag
이라고	이/jp+라고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
물론	물론/mag
지표면	지표면/ncn
근처이므로	근처/ncn+이/jp+므로/ecs
거리는	거리/ncn+는/jxc
지구	지구/ncn
반지름을	반지름/ncn+을/jco
쓰는	쓰/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러면	그러면/maj
당연히	당연/ncn+히/xsa
질량이	질량/ncn+이/jcs
큰	크/paa+ㄴ/etm
쪽의	쪽/nbn+의/jcm
중력인	중력/ncn+이/jp+ㄴ/etm
F	F/f
'	'/sr
가	가/jcs
F	F/f
보다	보다/jca
크다	크/paa+다/ef
.	./sf
따라서	따라서/maj
,	,/sp
m	m/f
'	'/sr
에	에/jca
작용하는	작용/ncpa+하/xsv+는/etm
힘이	힘/ncn+이/jcs
더	더/mag
크지만	크/paa+지만/ecs
그	그/mmd
대신	대신/ncn
질량이	질량/ncn+이/jcs
크므로	크/paa+므로/ecs
가속도는	가속도/ncn+는/jxc
반비례해서	반/xp+비례/ncpa+하/xsv+어서/ecs
줄어든다	줄/pvg+어/ecx+들/px+ㄴ다/ef
.	./sf
그래서	그래서/maj
결국	결국/mag
m	m/f
과	과/jct
같은	같/paa+은/etm
가속도를	가속도/ncn+를/jco
갖게	갖/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
즉	즉/mag
이	이/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
처음에	처음/ncn+에/jca
정지해	정지/ncpa+하/xsv+어/ecx
있던	있/px+던/etm
두	두/nnc
물체가	물체/ncn+가/jcs
같은	같/paa+은/etm
가속도로	가속도/ncn+로/jca
운동하므로	운동/ncpa+하/xsv+므로/ecs
같은	같/paa+은/etm
속도로	속도/ncn+로/jca
떨어지는	떨어지/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
두	두/nnc
물체가	물체/ncn+가/jcs
같은	같/paa+은/etm
가속도로	가속도/ncn+로/jca
운동하므로	운동/ncpa+하/xsv+므로/ecs
같은	같/paa+은/etm
속도로	속도/ncn+로/jca
떨어지는	떨어지/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
꿈돌이의	꿈돌이/nq+의/jcm
말이	말/ncn+이/jcs
정답이다	정답/ncn+이/jp+다/ef
.	./sf
줄다리기	줄다리기/ncn
경주	경주/ncn
운동장에서	운동/ncn+장/xsn+에서/jca
호동이와	호동이/nq+와/jcj
갑순이가	갑순이/nq+가/jcs
일	일/nnc
대	대/nbn
일로	일/nnc+로/jca
줄다리기를	줄다리기/ncn+를/jco
하고	하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
중앙에	중앙/ncn+에/jca
깃발을	깃발/ncn+을/jco
꽂아	꽂/pvg+아/ecs
표시를	표시/ncn+를/jco
하고	하/pvg+고/ecs
서로	서로/mag
당기기	당기/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
호동이가	호동이/nq+가/jcs
일방적으로	일방/ncn+적/xsn+으로/jca
갑순이를	갑순이/nq+를/jco
끌어당기고	끌/pvg+어/ecs+당기/pvg+고/ecc
,	,/sp
갑순이는	갑순이/nq+는/etm
밧줄을	밧줄/ncn+을/jco
꽉	꽉/mag
잡고	잡/pvg+고/ecx
버티지만	버티/pvg+지만/ecs
질질	질질/mag
끌려가고	끌리/pvg+어/ecs+가/pvg+고/ecx
있어서	있/px+어서/ecs
경주는	경주/ncn+는/jxc
쉽게	쉽/paa+게/ecs
끝날	끝/ncn+나/pvg+ㄹ/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
그러면	그러면/maj
이	이/mmd
상황에서	상황/ncn+에서/jca
팽팽하게	팽팽하/paa+게/ecs
당겨진	당기/pvg+어/ecx+지/px+ㄴ/etm
밧줄을	밧줄/ncn+을/jco
통해	통하/pvg+어/ecx
두	두/nnc
사람에게	사람/ncn+에게/jca
각각	각각/mag
전달되는	전달/ncpa+되/xsv+는/etm
힘은	힘/ncn+은/jxc
어느	어느/mmd
쪽이	쪽/nbn+이/jcs
더	더/mag
큰	크/paa+ㄴ/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
말할	말/ncpa+하/xsv+ㄹ/etm
것도	것/nbn+도/jxc
없이	없/paa+이/xsa
호동이가	호동이/nq+가/jcs
더	더/mag
큰	크/paa+ㄴ/etm
힘으로	힘/ncn+으로/jca
밧줄을	밧줄/ncn+을/jco
잡아	잡/pvg+아/ecx
당기고	당기/pvg+고/ecx
있는	있/px+는/etm
거야	거/nbn+야/ef
.	./sf
갑순이가	갑순이/nq+가/jcs
잡아당기는	잡/pvg+아/ecs+당기/pvg+는/etm
힘보다	힘/ncn+보다/jca
커야	크/paa+어야/ecs
갑순이를	갑순이/nq+를/jco
끌어당길	끌/pvg+어/ecs+당기/pvg+ㄹ/etm
수	수/nbn
있잖아	있/paa+잖아/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
아니	아니/ii
,	,/sp
오히려	오히려/mag
갑순이가	갑순이/nq+가/jcs
더	더/mag
세게	세/paa+게/ecs
당기고	당기/pvg+고/ecx
있는	있/px+는/etm
거야	거/nbn+야/ef
.	./sf
처음에는	처음/ncn+에/jca+는/jxc
같은	같/paa+은/etm
힘을	힘/ncn+을/jco
주고	주/pvg+고/ecx
있었지만	있/px+었/ep+지만/ecs
끌려가고	끌리/pvg+어/ecs+가/pvg+고/ecx
있을	있/px+을/etm
때는	때/ncn+는/jxc
반대	반대/ncn
방향으로	방향/ncn+으로/jca
버티려는	버티/pvg+려/ecs+는/etm
힘을	힘/ncn+을/jco
더	더/mag
주어야	주/pvg+어야/ecs
하니까	하/px+니까/ecs
말이야	말/ncn+이/jp+야/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
호동이가	호동이/nq+가/jcs
더	더/mag
큰	크/paa+ㄴ/etm
힘으로	힘/ncn+으로/jca
잡아당기고	잡/pvg+아/ecs+당기/pvg+고/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
분명해	분명/ncps+하/xsm+어/ef
.	./sf
하지만	하지만/maj
그	그/mmd
힘뿐만	힘/ncn+뿐/jxc+만/jxc
아니라	아니/paa+라/ecs
땅을	땅/ncn+을/jco
밟고	밟/pvg+고/ecc
지탱하는	지탱/ncpa+하/xsv+는/etm
힘	힘/ncn
.	./sf
마찰력도	마찰/ncn+력/xsn+도/jxc
크다고	크/paa+다고/ecs
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있어	있/paa+어/ef
.	./sf
그	그/mmd
두가지	두/nnc+가지/nbu
힘이	힘/ncn+이/jcs
합한	합하/pvg+ㄴ/etm
만큼	만큼/nbn
힘이	힘/ncn+이/jcs
더	더/mag
센	세/pvg+ㄴ/etm
거지	것/nbn+이/jp+지/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
하지만	하지만/maj
마찰력은	마찰/ncn+력/xsn+은/jxc
운동하는	운동/ncpa+하/xsv+는/etm
방향과	방향/ncn+과/jcj
반대이니까	반대/ncn+이/jp+니까/ecs
잡아	잡/pvg+아/ecx
당기는	당기/pvg+는/etm
힘과	힘/ncn+과/jcj
마찰력의	마찰/ncn+력/xsn+의/jcm
차이를	차이/ncn+를/jco
생각해야	생각/ncpa+하/xsv+어야/ecs
돼	되/pvg+어/ef
.	./sf
결국	결국/mag
마찰력은	마찰/ncn+력/xsn+은/jxc
양쪽	양쪽/ncn
모두	모두/mag
똑같지만	똑같/paa+지만/ecs
잡아당기는	잡/pvg+아/ecs+당기/pvg+는/etm
힘이	힘/ncn+이/jcs
더	더/mag
큰	크/paa+ㄴ/etm
호동이가	호동이/nq+가/jcs
더	더/mag
큰	크/paa+ㄴ/etm
힘으로	힘/ncn+으로/jca
당기는	당기/pvg+는/etm
셈이	셈/nbn+이/jcc
되겠지	되/pvg+겠/ep+지/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
똘똘이와	똘똘이/nq+와/jcj
반대로	반대/ncn+로/jca
생각해야	생각/ncpa+하/xsv+어야/ecs
되지	되/pvg+지/ecx
않을까	않/px+을까/ef
?	?/sf
밧줄을	밧줄/ncn+을/jco
당기는	당기/pvg+는/etm
힘은	힘/ncn+은/jxc
서로	서로/mag
같지만	같/paa+지만/ecs
,	,/sp
땅을	땅/ncn+을/jco
지탱하는	지탱/ncpa+하/xsv+는/etm
힘이	힘/ncn+이/jcs
더	더/mag
센	세/paa+ㄴ/etm
호동이가	호동이/nq+가/jcs
이기는	이기/pvg+는/etm
것이라고	것/nbn+이/jp+라고/ecs
설명할	설명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있지	있/paa+지/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
운동	운동/ncn
제	제/xp
3	3/nno
법칙이라고	법칙/ncn+이/jp+라/ef+고/jcr
부르는	부르/pvg+는/etm
작용과	작용/ncn+과/jcj
반작용의	반/xp+작용/ncn+의/jcm
예다	예/ncn+다/ef
.	./sf
힘은	힘/ncn+은/jxc
항상	항상/mag
두	두/nnc
물체	물체/ncn
사이에서	사이/ncn+에서/jca
쌍으로	쌍/ncn+으로/jca
작용한다	작용/ncpa+하/xsv+ㄴ다/ef
.	./sf
이때	이/mmd+때/ncn
어느	어느/mmd
한쪽이	한쪽/ncn+이/jcs
다른	다르/paa+ㄴ/etm
한쪽에	한쪽/ncn+에/jca
힘을	힘/ncn+을/jco
미치면	미치/pvg+면/ecs
그와	그/npd+와/jct
똑같이	똑같/paa+이/xsa
